sample,RMS,_Roughness
1,0.000001,0.000000
2,0.000014,0.000000
3,0.000726,0.000000
4,0.000614,0.000000
5,0.000588,0.000000
6,0.000622,0.000000
7,0.000633,0.000000
8,0.000701,0.000000
9,0.000674,0.000000
10,0.000503,0.000000
11,0.000478,0.000000
12,0.000865,0.000000
13,0.000626,0.000000
14,0.000369,0.000000
15,0.000484,0.000000
16,0.000479,0.000000
17,0.000509,0.000000
18,0.000506,0.000000
19,0.000453,0.000000
20,0.000457,0.000000
21,0.000504,0.000000
22,0.000572,0.000000
23,0.000486,0.000000
24,0.000531,0.000000
25,0.000492,0.000000
26,0.001344,0.000000
27,0.000608,0.000000
28,0.002802,0.000000
29,0.000613,0.000000
30,0.000751,0.000000
31,0.001015,0.000000
32,0.002005,0.000000
33,0.005523,0.067246
34,0.002220,0.000000
35,0.000691,0.000000
36,0.000383,0.000000
37,0.000398,0.000000
38,0.000407,0.000000
39,0.000451,0.000000
40,0.000398,0.000000
41,0.000433,0.000000
42,0.000421,0.000000
43,0.000527,0.000000
44,0.008909,0.000050
45,0.039663,25.473523
46,0.042127,7.492309
47,0.045879,10.118900
48,0.048516,15.319201
49,0.042227,12.146551
50,0.036617,10.164479
51,0.041410,15.204926
52,0.044922,19.678281
53,0.048378,18.300583
54,0.044255,16.165660
55,0.046239,19.309585
56,0.045179,16.300557
57,0.046279,16.336286
58,0.047587,17.816197
59,0.043985,13.492481
60,0.043238,15.873485
61,0.035780,10.889454
62,0.040897,11.777051
63,0.042726,14.544215
64,0.043927,14.502018
65,0.048134,15.539020
66,0.045326,17.049126
67,0.041773,12.360953
68,0.041532,12.634426
69,0.044190,14.056164
70,0.041847,12.470890
71,0.037329,10.259568
72,0.017016,1.118476
73,0.007864,0.257734
74,0.005997,0.141134
75,0.006322,0.165040
76,0.006019,0.192390
77,0.005758,0.164744
78,0.005736,0.254691
79,0.006112,0.265253
80,0.005938,0.266348
81,0.005348,0.114932
82,0.004754,0.102353
83,0.004808,0.106503
84,0.005081,0.140284
85,0.005681,0.206801
86,0.006114,0.248127
87,0.005628,0.150152
88,0.005689,0.160435
89,0.006561,0.265766
90,0.006429,0.197178
91,0.005008,0.120422
92,0.001563,0.000000
93,0.000987,0.000000
94,0.000901,0.000000
95,0.000861,0.000000
96,0.000878,0.000000
97,0.000992,0.000000
98,0.000931,0.000000
99,0.000863,0.000000
100,0.001062,0.000000
101,0.001134,0.000000
102,0.000992,0.000000
103,0.001118,0.000000
104,0.001172,0.000000
105,0.014030,0.435342
106,0.027107,1.021167
107,0.035448,1.131524
108,0.050192,3.997544
109,0.047539,2.838468
110,0.045829,3.903925
111,0.044364,3.273924
112,0.034252,1.493345
113,0.034364,1.600141
114,0.034485,1.662660
115,0.037807,2.018166
116,0.034413,2.044023
117,0.030550,1.700036
118,0.029940,1.627788
119,0.030122,1.674632
120,0.029201,1.322582
121,0.029555,2.506293
122,0.032586,2.902515
123,0.033197,2.940132
124,0.028870,1.618609
125,0.031120,3.472128
126,0.034400,2.521035
127,0.035438,3.138041
128,0.034819,3.775953
129,0.030241,3.099470
130,0.030869,1.949179
131,0.027584,1.627817
132,0.006580,0.146188
133,0.006973,0.183812
134,0.006529,0.135508
135,0.006012,0.117770
136,0.005666,0.059414
137,0.005548,0.059241
138,0.006447,0.066400
139,0.006793,0.074540
140,0.006901,0.147285
141,0.010433,0.449528
142,0.011530,0.250345
143,0.010177,0.203597
144,0.012407,0.292553
145,0.015267,0.748987
146,0.012169,0.363602
147,0.010582,0.184149
148,0.010821,0.209089
149,0.012386,0.393981
150,0.009571,0.159580
151,0.009421,0.197013
152,0.007379,0.111341
153,0.006966,0.000000
154,0.001485,0.000000
155,0.000751,0.000000
156,0.000705,0.000000
157,0.000599,0.000000
158,0.000586,0.000000
159,0.000546,0.000000
160,0.051942,7.854997
161,0.077304,73.103497
162,0.104183,105.998484
163,0.108057,62.839783
164,0.090827,53.652763
165,0.088664,39.975792
166,0.081971,40.181232
167,0.078285,86.956176
168,0.067769,44.874199
169,0.067438,42.994206
170,0.062956,37.495551
171,0.073910,46.889859
172,0.072171,50.255780
173,0.065026,39.034538
174,0.059611,40.919978
175,0.058876,30.948778
176,0.053993,26.053157
177,0.050160,26.024634
178,0.051890,25.072693
179,0.060268,28.318326
180,0.061329,29.366196
181,0.060099,33.444008
182,0.064072,35.811643
183,0.052917,25.760942
184,0.050879,20.075400
185,0.029775,3.546558
186,0.016045,1.318305
187,0.015830,1.508062
188,0.014242,1.326803
189,0.010702,0.634677
190,0.015239,1.535439
191,0.017853,1.786858
192,0.018792,1.484413
193,0.016523,1.303141
194,0.013086,0.921582
195,0.014734,1.156478
196,0.020078,1.721127
197,0.021670,2.300066
198,0.020505,1.890746
199,0.020321,1.761572
200,0.016371,1.562332
201,0.014079,1.191477
202,0.018696,1.954179
203,0.018095,1.586425
204,0.018157,0.695854
205,0.005313,0.000000
206,0.000991,0.000000
207,0.000662,0.000000
208,0.000496,0.000000
209,0.000469,0.000000
210,0.000537,0.000000
211,0.000443,0.000000
212,0.000496,0.000000
213,0.000429,0.000000
214,0.000424,0.000000
215,0.000470,0.000000
216,0.000457,0.000000
217,0.000345,0.000000
218,0.000475,0.000000
219,0.000428,0.000000
220,0.000438,0.000000
221,0.000504,0.000000
222,0.000409,0.000000
223,0.000398,0.000000
224,0.000399,0.000000
225,0.000363,0.000000
226,0.000454,0.000000
227,0.000477,0.000000
228,0.000411,0.000000
229,0.000500,0.000000
230,0.000854,0.000000
231,0.000610,0.000000
232,0.000557,0.000000
233,0.000454,0.000000
234,0.000557,0.000000
235,0.000412,0.000000
236,0.000469,0.000000
237,0.000416,0.000000
238,0.000362,0.000000
239,0.000486,0.000000
240,0.000511,0.000000
241,0.000377,0.000000
242,0.000335,0.000000
243,0.000565,0.000000
244,0.000473,0.000000
245,0.000706,0.000000
246,0.000595,0.000000
247,0.000428,0.000000
248,0.000524,0.000000
249,0.000422,0.000000
250,0.000389,0.000000
251,0.000367,0.000000
252,0.000420,0.000000
253,0.000643,0.000000
254,0.000395,0.000000
255,0.000391,0.000000
256,0.000532,0.000000
257,0.000586,0.000000
258,0.000424,0.000000
259,0.000498,0.000000
260,0.000456,0.000000
261,0.002448,0.000000
262,0.000009,0.000000
263,0.000004,0.000000
